POprc465_1:1	xx	UNI(UNI)	
POprc465_26:29	by	IN(IN)	by
POprc465_26:30	er	UH(UH)	er
POprc465_26:31	er	UH(UH)	er
POprc465_26:32	a	DT(DT)	a
POprc465_26:33	very	RB(RB)	very
POprc465_26:34	detailed	JJ(JJ)	detailed
POprc465_26:35	operational	JJ(JJ)	operational
POprc465_26:36	plan	NN(NN)	plan
POprc465_26:37	but	CC(CC)	but
POprc465_26:38	something	NN(NN)	something
POprc465_26:39	that	PRE(PRE)	that
POprc465_26:40	i	PP(PP)	i
POprc465_26:41	will	MD(MD)	will
POprc465_26:42	hh	BR(BR)	
POprc465_26:43	point	VV(VV)	point
POprc465_26:44	out	RP(RP)	out
POprc465_26:45	is	VBZ(VBZ)	be
POprc465_26:46	that	IN(IN)	that
POprc465_26:47	er	UH(UH)	er
POprc465_26:48	before	IN(IN)	before
POprc465_26:49	that	DT(DT)	that
POprc465_26:50	_0	PA(PA)	
POprc465_26:51	operational	JJ(JJ)	operational
POprc465_26:52	plan	NN(NN)	plan
POprc465_26:53	is	VBZ(VBZ)	be
POprc465_26:54	made	VVN(VVN)	make
POprc465_26:55	hh	BR(BR)	
POprc465_26:56	we	PP(PP)	we
POprc465_26:57	are	VBP(VBP)	be
POprc465_26:58	going	VVG(VVG)	go
POprc465_26:59	hard	JJ(JJ)	hard
POprc465_26:60	on	IN(IN)	on
POprc465_26:61	this	DT(DT)	this
POprc465_26:62	we	PP(PP)	we
POprc465_26:63	are	VBP(VBP)	be
POprc465_26:64	going	VVG(VVG)	go
POprc465_26:65	to	TO(TO)	to
POprc465_26:66	work	VV(VV)	work
POprc465_26:67	hard	JJ(JJ)	hard
POprc465_26:68	on	IN(IN)	on
POprc465_26:69	this	DT(DT)	this
POprc465_26:70	document	NN(NN)	document
POprc465_26:71	and	CC(CC)	and
POprc465_26:72	we	PP(PP)	we
POprc465_26:73	are	VBP(VBP)	be
POprc465_26:74	_0	PA(PA)	
POprc465_26:75	going	VVG(VVG)	go
POprc465_26:76	to	IN(IN)	to
POprc465_26:77	action	NN(NN)	action
POprc465_26:78	_0	PA(PA)	
POprc465_26:79	hh	BR(BR)	
POprc465_26:80	er	UH(UH)	er
POprc465_26:81	even	RB(RB)	even
POprc465_26:82	before	IN(IN)	before
POprc465_26:83	operational	JJ(JJ)	operational
POprc465_26:84	further	JJR(JJR)	far
POprc465_26:85	operational	JJ(JJ)	operational
POprc465_26:86	plan	NN(NN)	plan
POprc465_26:87	_0	PA(PA)	
POprc465_26:88	in	IN(IN)	in
POprc465_26:89	co-	XX(XX)	
POprc465_26:90	in	IN(IN)	in
POprc465_26:91	cooperation	NN(NN)	cooperation
POprc465_26:92	with	IN(IN)	with
POprc465_26:93	er	UH(UH)	er
POprc465_26:94	_0	PA(PA)	
POprc465_26:95	icty	NP(NP)	icty
POprc465_26:96	is	VBZ(VBZ)	be
POprc465_26:97	prepared	VVN(VVN)	prepare
POprc465_26:98	hh	BR(BR)	
POprc465_26:99	so	DM(DM)	so
POprc465_26:100	that	DT(DT)	that
POprc465_26:101	is	VBZ(VBZ)	be
POprc465_26:102	the	DT(DT)	the
POprc465_26:103	hh	BR(BR)	
POprc465_26:104	er	UH(UH)	er
POprc465_26:105	speaking	VVG(NN)/VVG(VVG)	speak/speaking
POprc465_26:106	about	IN(IN)	about
POprc465_26:107	the	DT(DT)	the
POprc465_26:108	lack	NN(NN)	lack
POprc465_26:109	_0	PA(PA)	
POprc465_26:110	of	IN(IN)	of
POprc465_26:111	the	DT(DT)	the
POprc465_26:112	documents	NNS(NNS)	document
POprc465_26:113	about	IN(IN)	about
POprc465_26:114	the	DT(DT)	the
POprc465_26:115	documents	NNS(NNS)	document
POprc465_26:116	that	PRE(PRE)	that
POprc465_26:117	are	VBP(VBP)	be
POprc465_26:118	going	VVG(VVG)	go
POprc465_26:119	to	TO(TO)	to
POprc465_26:120	follow	VV(VV)	follow
POprc465_26:121	it	PP(PP)	it
POprc465_26:122	er	UH(UH)	er
POprc465_26:123	this	DT(DT)	this
POprc465_26:124	document	NN(NN)	document
POprc465_26:125	er	UH(UH)	er
POprc465_26:126	hh	BR(BR)	
POprc465_26:127	er	UH(UH)	er
POprc465_26:128	_0	PA(PA)	
POprc465_26:129	er	UH(UH)	er
POprc465_26:130	m-	XX(XX)	
POprc465_26:131	in	IN(IN)	in
POprc465_26:132	detail	NN(NN)	detail
POprc465_26:133	_0	PA(PA)	
POprc465_26:134	is	VBZ(VBZ)	be
POprc465_26:135	concerned	VVN(VVN)	concern
POprc465_26:136	with	IN(IN)	with
POprc465_26:137	the	DT(DT)	the
POprc465_26:138	media	NN(NN)	media
POprc465_26:139	campaign	NN(NN)	campaign
POprc465_26:140	that	PRE(PRE)	that
POprc465_26:141	is	VBZ(VBZ)	be
POprc465_26:142	necessary	JJ(JJ)	necessary
POprc465_26:143	in	IN(IN)	in
POprc465_26:144	the	DT(DT)	the
POprc465_26:145	cases	NNS(NNS)	case
POprc465_26:146	like	IN(IN)	like
POprc465_26:147	this	DT(DT)	this
POprc465_26:148	with	IN(IN)	with
POprc465_26:149	er	UH(UH)	er
POprc465_26:150	_0	PA(PA)	
POprc465_26:151	hh	BR(BR)	
POprc465_26:152	involvement	NN(NN)	involvement
POprc465_26:153	of	IN(IN)	of
POprc465_26:154	security	NN(NN)	security
POprc465_26:155	sector	NN(NN)	sector
POprc465_26:156	hh	BR(BR)	
POprc465_26:157	with	IN(IN)	with
POprc465_26:158	coordination	NN(NN)	coordination
POprc465_26:159	of	IN(IN)	of
POprc465_26:160	legal	JJ(JJ)	legal
POprc465_26:161	and	CC(CC)	and
POprc465_26:162	operational	JJ(JJ)	operational
POprc465_26:163	proce-	XX(XX)	
POprc465_26:164	procedures	NNS(NNS)	procedure
POprc465_26:165	coordination	NN(NN)	coordination
POprc465_26:166	with	IN(IN)	with
POprc465_26:167	icty	NP(NP)	icty
POprc465_26:168	_0	PA(PA)	
POprc465_26:169	hh	BR(BR)	
POprc465_26:170	and	CC(CC)	and
POprc465_26:171	er	UH(UH)	er
POprc465_26:172	_0	PA(PA)	
POprc465_26:173	some	DT(DT)	some
POprc465_26:174	legal	JJ(JJ)	legal
POprc465_26:175	_0	PA(PA)	
POprc465_26:176	provisions	NNS(NNS)	provision
POprc465_26:177	er	UH(UH)	er
POprc465_26:178	hh	BR(BR)	
POprc465_26:179	when	WRB(WRB)	when
POprc465_26:180	i	PP(PP)	i
POprc465_26:181	'm	VBP(VBP)	be
POprc465_26:182	say	V(VVG)	say
POprc465_26:183	legal	JJ(JJ)	legal
POprc465_26:184	provisions	NNS(NNS)	provision
POprc465_26:185	i	PP(PP)	i
POprc465_26:186	have	VHP(VHP)	have
POprc465_26:187	on	IN(IN)	on
POprc465_26:188	on	IN(IN)	on
POprc465_26:189	mind	NN(NN)	mind
POprc465_26:190	the	DT(DT)	the
POprc465_26:191	necessity	NN(NN)	necessity
POprc465_26:192	to	TO(TO)	to
POprc465_26:193	amend	VV(VV)	amend
POprc465_26:194	certain	JJ(JJ)	certain
POprc465_26:195	specific	JJ(JJ)	specific
POprc465_26:196	laws	NNS(NNS)	law
POprc465_26:197	_0	PA(PA)	
POprc465_26:198	that	DT(DT)	that
POprc465_26:199	is	VBZ(VBZ)	be
POprc465_26:200	also	RB(RB)	also
POprc465_26:201	hh	BR(BR)	
POprc465_26:202	something	NN(NN)	something
POprc465_26:203	that	PRE(PRE)	that
POprc465_26:204	er	UH(UH)	er
POprc465_26:205	need	V(VVZ)	need
POprc465_26:206	some	DT(DT)	some
POprc465_26:207	time	NN(NN)	time
POprc465_26:208	so	DM(DM)	so
POprc465_26:209	_0	PA(PA)	
POprc465_26:210	basically	RB(RB)	basically
POprc465_26:211	this	DT(DT)	this
POprc465_26:212	is	VBZ(VBZ)	be
POprc465_26:213	the	DT(DT)	the
POprc465_26:214	structure	NN(NN)	structure
POprc465_26:215	of	IN(IN)	of
POprc465_26:216	the	DT(DT)	the
POprc465_26:217	document	NN(NN)	document

POprc465_27:1	er	UH(UH)	er
POprc465_27:2	well	DM(DM)	well
POprc465_27:3	the	DT(DT)	the
POprc465_27:4	document	NN(NN)	document
POprc465_27:5	er	UH(UH)	er
POprc465_27:6	is	VBZ(VBZ)	be
POprc465_27:7	as	IN(IN)	as
POprc465_27:8	you	PP(PP)	you
POprc465_27:9	see	VV(VV)	see
POprc465_27:10	completely	RB(RB)	completely
POprc465_27:11	as	IN(IN)	as
POprc465_27:12	_0	PA(PA)	
POprc465_27:13	comes	VVZ(VVZ)	come
POprc465_27:14	out	IN(IN)	out
POprc465_27:15	of	IN(IN)	of
POprc465_27:16	this	DT(DT)	this
POprc465_27:17	conference	NN(NN)	conference
POprc465_27:18	er	UH(UH)	er
POprc465_27:19	this	DT(DT)	this
POprc465_27:20	evening	NN(NN)	evening
POprc465_27:21	comes	VVZ(VVZ)	come
POprc465_27:22	completely	RB(RB)	completely
POprc465_27:23	hh	BR(BR)	
POprc465_27:24	er	UH(UH)	er
POprc465_27:25	on	IN(IN)	on
POprc465_27:26	the	DT(DT)	the
POprc465_27:27	further	JJR(JJR)	far
POprc465_27:28	full	JJ(JJ)	full
POprc465_27:29	cooperation	NN(NN)	cooperation
POprc465_27:30	particularly	RB(RB)	particularly
POprc465_27:31	with	IN(IN)	with
POprc465_27:32	the	DT(DT)	the
POprc465_27:33	general	JJ(JJ)	general
POprc465_27:34	prosecutor	NN(NN)	prosecutor
POprc465_27:35	in	IN(IN)	in
POprc465_27:36	the	DT(DT)	the
POprc465_27:37	hague	NP(NP)	hague
POprc465_27:38	and	CC(CC)	and
POprc465_27:39	of	RB(RB)	of
POprc465_27:40	course	RB(RB)	course
POprc465_27:41	with	IN(IN)	with
POprc465_27:42	er	UH(UH)	er
POprc465_27:43	european	NP(NP)	european
POprc465_27:44	union	NP(NP)	union
POprc465_27:45	_1	PA(PA)	
POprc465_27:46	and	CC(CC)	and
POprc465_27:47	with	DT(DT)	with
POprc465_27:48	troika	NP(NP)	troika
POprc465_27:49	_1	PA(PA)	

POprc465_28:1	er	UH(UH)	er
POprc465_28:2	a_[S6]	NP(NP)	
POprc465_28:3	a_[S6/last]	NP(NP)	
POprc465_28:4	serbian	JJ(JJ)	serbian
POprc465_28:5	daily	NN(NN)	daily
POprc465_28:6	a_[org3]	NP(NP)	
POprc465_28:7	_0	PA(PA)	
POprc465_28:8	mister	NN(NN)	mister
POprc465_28:9	a_[S7/last]	NP(NP)	
POprc465_28:10	you	PP(PP)	you
POprc465_28:11	're	VBP(VBP)	be
POprc465_28:12	er	UH(UH)	er
POprc465_28:13	_0	PA(PA)	
POprc465_28:14	sad	JJ(JJ)	sad
POprc465_28:15	or	CC(CC)	or
POprc465_28:16	happy	JJ(JJ)	happy
POprc465_28:17	_3	PA(PA)	
POprc465_28:18	just	RB(RB)	just
POprc465_28:19	brief	JJ(JJ)	brief
POprc465_28:20	@	LA(LA)	

POprc465_29:1	oh	UH(UH)	oh
POprc465_29:2	i	PP(PP)	i
POprc465_29:3	'm	VBP(VBP)	be
POprc465_29:4	very	RB(RB)	very
POprc465_29:5	happy	JJ(JJ)	happy
POprc465_29:6	_1	PA(PA)	

POprc465_30:1	okay	RE(RE)	okay
POprc465_30:2	hh	BR(BR)	
POprc465_30:3	now	RB(RB)	now
POprc465_30:4	the	DT(DT)	the
POprc465_30:5	questions	NNS(NNS)	question
POprc465_30:6	@@@	LA(LA)	

POprc465_31:1	i	PP(PP)	i
POprc465_31:2	'm	VBP(VBP)	be
POprc465_31:3	always	RB(RB)	always
POprc465_31:4	very	RB(RB)	very
POprc465_31:5	happy	JJ(JJ)	happy
POprc465_31:6	erm	UH(UH)	erm
POprc465_31:7	er	UH(UH)	er
POprc465_31:8	so	DM(DM)	so
POprc465_31:9	this	DT(DT)	this
POprc465_31:10	is	VBZ(VBZ)	be
POprc465_31:11	nothing	NN(NN)	nothing
POprc465_31:12	new	NN(NN)	new
POprc465_31:13	_0	PA(PA)	

POprc465_32:1	when	WRB(WRB)	when
POprc465_32:2	you	PP(PP)	you
POprc465_32:3	were	VBD(VBD)	be
POprc465_32:4	last	JJ(JJ)	last
POprc465_32:5	time	NN(NN)	time
POprc465_32:6	in	IN(IN)	in
POprc465_32:7	belgrade	NP(NP)	belgrade
POprc465_32:8	you	PP(PP)	you
POprc465_32:9	were	VBD(VBD)	be
POprc465_32:10	sad	JJ(JJ)	sad
POprc465_32:11	just	RB(RB)	just
POprc465_32:12	because	IN(IN)	because
POprc465_32:13	of	IN(IN)	of
POprc465_32:14	that	DT(DT)	that
POprc465_32:15	my	PP$(PP$)	i
POprc465_32:16	_0	PA(PA)	
POprc465_32:17	question	NN(NN)	question

POprc465_33:1	okay	RE(RE)	okay
POprc465_33:2	i	PP(PP)	i
POprc465_33:3	'm	VBP(VBP)	be
POprc465_33:4	very	RB(RB)	very
POprc465_33:5	happy	JJ(JJ)	happy
POprc465_33:6	today	RB(RB)	today
POprc465_33:7	_1	PA(PA)	

POprc465_34:1	and	CC(CC)	and
POprc465_34:2	the	DT(DT)	the
POprc465_34:3	question	NN(NN)	question
POprc465_34:4	is	VBZ(VBZ)	be
POprc465_34:5	_0	PA(PA)	
POprc465_34:6	you	PP(PP)	you
POprc465_34:7	were	VBD(VBD)	be
POprc465_34:8	er	UH(UH)	er
POprc465_34:9	on	IN(IN)	on
POprc465_34:10	_0	PA(PA)	
POprc465_34:11	the	DT(DT)	the
POprc465_34:12	same	JJ(JJ)	same
POprc465_34:13	position	NN(NN)	position
POprc465_34:14	when	WRB(WRB)	when
POprc465_34:15	er	UH(UH)	er
POprc465_34:16	croatia	NP(NP)	croatia
POprc465_34:17	er	UH(UH)	er
POprc465_34:18	present	V(VVD)	present
POprc465_34:19	er	UH(UH)	er
POprc465_34:20	her	PP$(PP$)	she
POprc465_34:21	plan	NN(NN)	plan
POprc465_34:22	_0	PA(PA)	
POprc465_34:23	for	IN(IN)	for
POprc465_34:24	_0	PA(PA)	
POprc465_34:25	arrest	NN(NN)	arrest
POprc465_34:26	of	IN(IN)	of
POprc465_34:27	gotovina	NP(NP)	gotovina
POprc465_34:28	hh	BR(BR)	
POprc465_34:29	and	CC(CC)	and
POprc465_34:30	er	UH(UH)	er
POprc465_34:31	your	PP$(PP$)	you
POprc465_34:32	er	UH(UH)	er
POprc465_34:33	er	UH(UH)	er
POprc465_34:34	judgement	NN(NN)	judgement
POprc465_34:35	about	IN(IN)	about
POprc465_34:36	serbian	JJ(JJ)	serbian
POprc465_34:37	er	UH(UH)	er
POprc465_34:38	plan	NN(NN)	plan
POprc465_34:39	action	NN(NN)	action
POprc465_34:40	plan	NN(NN)	plan
POprc465_34:41	and	CC(CC)	and
POprc465_34:42	for	IN(IN)	for
POprc465_34:43	mister	NN(NN)	mister
POprc465_34:44	a_[S3/last]	NP(NP)	
POprc465_34:45	and	CC(CC)	and
POprc465_34:46	er	UH(UH)	er
POprc465_34:47	mister	NN(NN)	mister
POprc465_34:48	a_[S1/last]	NP(NP)	
POprc465_34:49	hh	BR(BR)	
POprc465_34:50	er	UH(UH)	er
POprc465_34:51	today	RB(RB)	today
POprc465_34:52	er	UH(UH)	er
POprc465_34:53	foreign	JJ(JJ)	foreign
POprc465_34:54	minister	NN(NN)	minister
POprc465_34:55	er	UH(UH)	er
POprc465_34:56	slovenian	JJ(JJ)/NP(NP)	slovenian
POprc465_34:57	er	UH(UH)	er
POprc465_34:58	a_[lastname1]	NP(NP)	
POprc465_34:59	said	VVD(VVD)	say
POprc465_34:60	that	IN(IN)	that
POprc465_34:61	er	UH(UH)	er
POprc465_34:62	if	IN(IN)	if
POprc465_34:63	we	PP(PP)	we
POprc465_34:64	_0	PA(PA)	
POprc465_34:65	hh	BR(BR)	
POprc465_34:66	talk	VVP(VVP)	talk
POprc465_34:67	about	IN(IN)	about
POprc465_34:68	er	UH(UH)	er
POprc465_34:69	conditional	JJ(JJ)	conditional
POprc465_34:70	independence	NN(NN)	independence
POprc465_34:71	er	UH(UH)	er
POprc465_34:72	for	IN(IN)	for
POprc465_34:73	kosovo	NP(NP)	kosovo
POprc465_34:74	why	WRB(WRB)	why
POprc465_34:75	could	MD(MD)	can
POprc465_34:76	n't	RB(RB)	not
POprc465_34:77	we	PP(PP)	we
POprc465_34:78	talk	VV(VV)	talk
POprc465_34:79	about	IN(IN)	about
POprc465_34:80	conditionally	RB(JJ)	conditionally
POprc465_34:81	membership	NN(NN)	membership
POprc465_34:82	er	UH(UH)	er
POprc465_34:83	for	IN(IN)	for
POprc465_34:84	serbia	NP(NP)	serbia
POprc465_34:85	in	IN(IN)	in
POprc465_34:86	european	NP(NP)	european
POprc465_34:87	union	NP(NP)	union
POprc465_34:88	what	WP(WP)	what
POprc465_34:89	do	VVP(VVP)	do
POprc465_34:90	you	PP(PP)	you
POprc465_34:91	think	VV(VV)	think
POprc465_34:92	about	IN(IN)	about
POprc465_34:93	that	DT(DT)	that
POprc465_34:94	_5	PA(PA)	

POprc465_35:1	er	UH(UH)	er
POprc465_35:2	er	UH(UH)	er
POprc465_35:3	all	DT(DT)	all
POprc465_35:4	prospective	JJ(JJ)	prospective
POprc465_35:5	membership	NN(NN)	membership
POprc465_35:6	er	UH(UH)	er
POprc465_35:7	er	UH(UH)	er
POprc465_35:8	in	IN(IN)	in
POprc465_35:9	the	DT(DT)	the
POprc465_35:10	european	NP(NP)	european
POprc465_35:11	union	NP(NP)	union
POprc465_35:12	is	VBZ(VBZ)	be
POprc465_35:13	conditional	JJ(JJ)	conditional
POprc465_35:14	_0	PA(PA)	
POprc465_35:15	hh	BR(BR)	
POprc465_35:16	conditional	JJ(JJ)	conditional
POprc465_35:17	on	IN(IN)	on
POprc465_35:18	the	DT(DT)	the
POprc465_35:19	countries	NNS(NNS)	country
POprc465_35:20	meeting	VVG(VVG)	meet
POprc465_35:21	the	DT(DT)	the
POprc465_35:22	er	UH(UH)	er
POprc465_35:23	copenhagen	NP(NP)	copenhagen
POprc465_35:24	criteria	NNS(NNS)	criterion
POprc465_35:25	_3	PA(PA)	

POprc465_36:1	mister	NN(NN)	mister
POprc465_36:2	a_[S7/last]	NP(NP)	
POprc465_36:3	_2	PA(PA)	

POprc465_37:1	i	PP(PP)	i
POprc465_37:2	i	PP(PP)	i
POprc465_37:3	certainly	RB(RB)	certainly
POprc465_37:4	am	VBP(VBP)	be
POprc465_37:5	very	RB(RB)	very
POprc465_37:6	happy	JJ(JJ)	happy
POprc465_37:7	do	VVP(VVP)	do
POprc465_37:8	i	PP(PP)	i
POprc465_37:9	have	VH(VH)	have
POprc465_37:10	to	TO(TO)	to
POprc465_37:11	say	VV(VV)	say
POprc465_37:12	something	NN(NN)	something
POprc465_37:13	else	RB(RB)	else
POprc465_37:14	er	UH(UH)	er

POprc465_38:1	@@@@@@@	LA(LA)	

POprc465_39:1	hh	BR(BR)	
POprc465_39:2	oh	UH(UH)	oh
POprc465_39:3	i	PP(PP)	i
POprc465_39:4	think	VVP(VVP)	think
POprc465_39:5	that	IN(IN)	that
POprc465_39:6	the	DT(DT)	the
POprc465_39:7	the	DT(DT)	the
POprc465_39:8	the	DT(DT)	the
POprc465_39:9	the	DT(DT)	the
POprc465_39:10	document	NN(NN)	document
POprc465_39:11	is	VBZ(VBZ)	be
POprc465_39:12	a	DT(DT)	a
POprc465_39:13	very	RB(RB)	very
POprc465_39:14	good	JJ(JJ)	good
POprc465_39:15	document	NN(NN)	document
POprc465_39:16	hh	BR(BR)	
POprc465_39:17	it	PP(PP)	it
POprc465_39:18	's	VBS(VBS)	be
POprc465_39:19	er	UH(UH)	er
POprc465_39:20	not	RB(RB)	not
POprc465_39:21	very	RB(RB)	very
POprc465_39:22	far	RB(RB)	far
POprc465_39:23	from	IN(IN)	from
POprc465_39:24	other	JJ(JJ)	other
POprc465_39:25	documents	NNS(NNS)	document
POprc465_39:26	that	PRE(PRE)	that
POprc465_39:27	have	VHP(VHP)	have
POprc465_39:28	been	VBN(VBN)	be
POprc465_39:29	the	DT(DT)	the
POprc465_39:30	hh	BR(BR)	
POprc465_39:31	er	UH(UH)	er
POprc465_39:32	_0	PA(PA)	
POprc465_39:33	organized	VVN(VVN)	organize
POprc465_39:34	with	IN(IN)	with
POprc465_39:35	the	DT(DT)	the
POprc465_39:36	_0	PA(PA)	
POprc465_39:37	help	NN(NN)	help
POprc465_39:38	of	IN(IN)	of
POprc465_39:39	the	DT(DT)	the
POprc465_39:40	troika	NP(NP)	troika
POprc465_39:41	with	IN(IN)	with
POprc465_39:42	the	DT(DT)	the
POprc465_39:43	prosecutor	NN(NN)	prosecutor
POprc465_39:44	_0	PA(PA)	
POprc465_39:45	and	CC(CC)	and
POprc465_39:46	the	DT(DT)	the
POprc465_39:47	country	NN(NN)	country
POprc465_39:48	_0	PA(PA)	
POprc465_39:49	hh	BR(BR)	
POprc465_39:50	and	CC(CC)	and
POprc465_39:51	i	PP(PP)	i
POprc465_39:52	am	VBP(VBP)	be
POprc465_39:53	_0	PA(PA)	
POprc465_39:54	pretty	RB(RB)	pretty
POprc465_39:55	sure	JJ(JJ)	sure
POprc465_39:56	that	IN(IN)	that
POprc465_39:57	this	DT(DT)	this
POprc465_39:58	is	VBZ(VBZ)	be
POprc465_39:59	going	VVG(VVG)	go
POprc465_39:60	to	TO(TO)	to
POprc465_39:61	be	VB(VB)	be
POprc465_39:62	a	DT(DT)	a
POprc465_39:63	successful	JJ(JJ)	successful
POprc465_39:64	document	NN(NN)	document
POprc465_39:65	_0	PA(PA)	
POprc465_39:66	that	DT(DT)	that
POprc465_39:67	i	PP(PP)	i
POprc465_39:68	have	VHP(VHP)	have
POprc465_39:69	no	DT(DT)	no
POprc465_39:70	doubt	NN(NN)	doubt
POprc465_39:71	of	IN(IN)	of
POprc465_39:72	that	DT(DT)	that
POprc465_39:73	_2	PA(PA)	

POprc465_40:1	hh	BR(BR)	
POprc465_40:2	yeah	RE(RE)	yeah
POprc465_40:3	er	UH(UH)	er
POprc465_40:4	to	IN(IN)	to
POprc465_40:5	commissioner	NN(NN)	commissioner
POprc465_40:6	a_[S3/last]	NP(NP)	
POprc465_40:7	and	CC(CC)	and
POprc465_40:8	to	IN(IN)	to
POprc465_40:9	prime	NN(NN)	prime
POprc465_40:10	minister	NN(NN)	minister
POprc465_40:11	a_[S2/last]	NP(NP)	
POprc465_40:12	commissioner	NN(NN)	commissioner
POprc465_40:13	a_[S3/last]	NP(NP)	
POprc465_40:14	_0	PA(PA)	
POprc465_40:15	clarification	NN(NN)	clarification
POprc465_40:16	bec-	XX(XX)	
POprc465_40:17	_0	PA(PA)	
POprc465_40:18	now	RB(RB)	now
POprc465_40:19	we	PP(PP)	we
POprc465_40:20	're	VBP(VBP)	be
POprc465_40:21	going	VVG(VVG)	go
POprc465_40:22	to	TO(TO)	to
POprc465_40:23	have	VH(VH)	have
POprc465_40:24	now	RB(RB)	now
POprc465_40:25	hh	BR(BR)	
POprc465_40:26	some	DT(DT)	some
POprc465_40:27	sort	NN(NN)	sort
POprc465_40:28	of	IN(IN)	of
POprc465_40:29	talks	NNS(NNS)	talk
POprc465_40:30	of	IN(IN)	of
POprc465_40:31	dialogue	NN(NN)	dialogue
POprc465_40:32	p_re-established	PVC(VVN)	
POprc465_40:33	with	IN(IN)	with
POprc465_40:34	serbia	NP(NP)	serbia
POprc465_40:35	not	RB(RB)	not
POprc465_40:36	yet	RB(RB)	yet
POprc465_40:37	on	IN(IN)	on
POprc465_40:38	the	DT(DT)	the
POprc465_40:39	s_saa	NP(NP)	s_saa
POprc465_40:40	hh	BR(BR)	
POprc465_40:41	but	CC(CC)	but
POprc465_40:42	on	IN(IN)	on
POprc465_40:43	the	DT(DT)	the
POprc465_40:44	working	VVG(NN)	work/working
POprc465_40:45	of	IN(IN)	of
POprc465_40:46	the	DT(DT)	the
POprc465_40:47	details	NNS(NNS)	detail
POprc465_40:48	_0	PA(PA)	
POprc465_40:49	hh	BR(BR)	
POprc465_40:50	of	IN(IN)	of
POprc465_40:51	this	DT(DT)	this
POprc465_40:52	er	UH(UH)	er
POprc465_40:53	_0	PA(PA)	
POprc465_40:54	er	UH(UH)	er
POprc465_40:55	of	IN(IN)	of
POprc465_40:56	this	DT(DT)	this
POprc465_40:57	plan	NN(NN)	plan
POprc465_40:58	so	RB(RB)	so
POprc465_40:59	is	VBZ(VBZ)	be
POprc465_40:60	is	VBZ(VBZ)	be
POprc465_40:61	am	VBP(VBP)	be
POprc465_40:62	i	PP(PP)	i
POprc465_40:63	un-	XX(XX)	
POprc465_40:64	_0	PA(PA)	
POprc465_40:65	did	VVD(VVD)	do
POprc465_40:66	i	PP(PP)	i
POprc465_40:67	understand	VV(VV)	understand
POprc465_40:68	it	PP(PP)	it
POprc465_40:69	correctly	RB(RB)	correctly
POprc465_40:70	you	PP(PP)	you
POprc465_40:71	were	VBD(VBD)	be
POprc465_40:72	re-	XX(XX)	
POprc465_40:73	resuming	VVG(VVG)	resume
POprc465_40:74	some	DT(DT)	some
POprc465_40:75	kind	NN(NN)	kind
POprc465_40:76	of	IN(IN)	of
POprc465_40:77	dialogue	NN(NN)	dialogue
POprc465_40:78	hh	BR(BR)	
POprc465_40:79	but	CC(CC)	but
POprc465_40:80	it	PP(PP)	it
POprc465_40:81	's	VBS(VBS)	be
POprc465_40:82	on	IN(IN)	on
POprc465_40:83	the	DT(DT)	the
POprc465_40:84	plan	NN(NN)	plan
POprc465_40:85	it	PP(PP)	it
POprc465_40:86	's	VBS(VBS)	be
POprc465_40:87	not	RB(RB)	not
POprc465_40:88	yet	RB(RB)	yet
POprc465_40:89	on	IN(IN)	on
POprc465_40:90	the	DT(DT)	the
POprc465_40:91	s_ss	XX(XX)	
POprc465_40:92	_0	PA(PA)	
POprc465_40:93	s_saa	NP(NP)	s_saa
POprc465_40:94	at	RB(RB)	at
POprc465_40:95	least	RB(RB)	least
POprc465_40:96	for	IN(IN)	for
POprc465_40:97	the	DT(DT)	the
POprc465_40:98	time	NN(NN)	time
POprc465_40:99	being	VBG(VBG)	be
POprc465_40:100	hh	BR(BR)	
POprc465_40:101	and	CC(CC)	and
POprc465_40:102	to	IN(IN)	to
POprc465_40:103	prime	NN(NN)	prime
POprc465_40:104	minister	NN(NN)	minister
POprc465_40:105	a_[S2/last]	NP(NP)	
POprc465_40:106	if	IN(IN)	if
POprc465_40:107	you	PP(PP)	you
POprc465_40:108	could	MD(MD)	can
POprc465_40:109	just	RB(RB)	just
POprc465_40:110	remind	VV(VV)	remind
POprc465_40:111	us	PP(PP)	we
POprc465_40:112	hh	BR(BR)	
POprc465_40:113	what	WP(WP)	what
POprc465_40:114	is	VBZ(VBZ)	be
POprc465_40:115	the	DT(DT)	the
POprc465_40:116	problem	NN(NN)	problem
POprc465_40:117	today	RB(RB)	today
POprc465_40:118	_0	PA(PA)	
POprc465_40:119	of	IN(IN)	of
POprc465_40:120	locating	VVG(VVG)	locate
POprc465_40:121	and	CC(CC)	and
POprc465_40:122	arresting	VVG(VVG)	arrest
POprc465_40:123	general	NN(NN)	general
POprc465_40:124	mladic	NP(NP)	mladic
POprc465_40:125	hh	BR(BR)	
POprc465_40:126	what	WP(WP)	what
POprc465_40:127	are	VBP(VBP)	be
POprc465_40:128	the	DT(DT)	the
POprc465_40:129	details	NNS(NNS)	detail
POprc465_40:130	in	IN(IN)	in
POprc465_40:131	other	JJ(JJ)	other
POprc465_40:132	words	NNS(NNS)	word
POprc465_40:133	hh	BR(BR)	
POprc465_40:134	that	IN(IN)	that
POprc465_40:135	you	PP(PP)	you
POprc465_40:136	hh	BR(BR)	
POprc465_40:137	need	VVP(VVP)	need
POprc465_40:138	to	TO(TO)	to
POprc465_40:139	work	VV(VV)	work
